 地面站位置,经度 (°),纬度 (°),频段,Ka天线尺寸 (m),Ka天线数量,Ka上行频率 (GHz),Ka下行频率 (GHz),Ka最小仰角 (°),Ka工作状态,E天线尺寸 (m),E天线数量,E上行频率 (GHz),E下行频率 (GHz),E最小仰角 (°),E工作状态,地面站创建时间,备案信息
"Chalfont Grove, United Kingdom",-0.57577,51.6155,Ka,1.47,8,2.1,1.3,25,1,--,--,--,--,--,--,2022-11-14,https://www.ofcom.org.uk/__data/assets/pdf_file/0020/228800/arqiva-gateway-licence.pdf,
"Charcas, Mexico",-100.979,23.2261,Ka,1.47,8,2.1,1.3,25,1,--,--,--,--,--,--,--,--,
"Cikarang Barat, Java, Idaho",107.097,-6.30629,Ka,1.85,27,2.5,1.25,25,1,--,--,--,--,--,--,--,--,
"Cleavdon, New Zealand",175.055,-36.9897,Ka,1.47,8,2.1,1.3,25,1,--,--,--,--,--,--,--,--,
"Cleavedon, New Zealand",175.056,-36.9899,Ka,1.85,40,2.1,1.3,25,1,--,--,--,--,--,--,2025-01-21,--,
"Clinton, Illinois",-88.8737,40.1765,Ka + E,1.85,40,2.1,1.3,25,1,1.85,32,5,5,25,1,2022-12-28,https://licensing.fcc.gov/cgi-bin/ws.exe/prod/ib/forms/reports/swr031b.hts?q_set=V_SITE_ANTENNA_FREQ.file_numberC/File+Number/%3D/SESLICINTR202204351&prepare=&column=V_SITE_ANTENNA_FREQ.file_numberC/File+Number,
"Colburn, Idaho",-116.439,48.3452,Ka,1.47,8,2.1,1.3,25,1,--,--,--,--,--,--,2020-06-12,https://licensing.fcc.gov/cgi-bin/ws.exe/prod/ib/forms/reports/swr031b.hts?q_set=V_SITE_ANTENNA_FREQ.file_numberC/File+Number/%3D/SESLIC2020061600647&prepare=&column=V_SITE_ANTENNA_FREQ.file_numberC/File+Number,
"Columbus, Ohio",-82.771,40.0626,Ka,1.47,8,2.1,1.3,25,1,--,--,--,--,--,--,2021-12-01,https://licensing.fcc.gov/cgi-bin/ws.exe/prod/ib/forms/reports/swr031b.hts?q_set=V_SITE_ANTENNA_FREQ.file_numberC/File+Number/%3D/SESLIC2021120201874&prepare=&column=V_SITE_ANTENNA_FREQ.file_numberC/File+Number,
"Corpus Christi, Texas",-97.4519,27.7931,Ka + E,1.85,40,2.1,1.3,25,1,1.85,32,5,5,25,1,--,--,
"Covilha, Portugal",-7.47825,40.2653,Ka,1.47,8,2.1,1.3,25,1,--,--,--,--,--,--,--,--,
"Cromwell, New Zealand",169.193,-45.0611,Ka,1.47,8,2.1,1.3,25,1,--,--,--,--,--,--,--,--,
"Dallas, Texas",-96.7619,32.7195,Ka+E,--,40,2.1,1.3,25,1,1.85,40,5,5,25,1,2025-04-07,--,
"Des Moines, New Mexico",-103.792,36.6975,Ka + E,1.85,40,2.1,1.3,25,1,1.85,32,5,5,25,1,2023-05-14,--,
"Douglas, Wyoming",-105.35,42.7401,Ka + E,--,40,2.1,1.3,25,1,1.85,40,5,5,25,1,2024-01-30,https://licensing.fcc.gov/cgi-bin/ws.exe/prod/ib/forms/reports/swr031b.hts?q_set=V_SITE_ANTENNA_FREQ.file_numberC/File+Number/%3D/SESLIC2024020200254&prepare=&column=V_SITE_ANTENNA_FREQ.file_numberC/File+Number,
"Dubuque, Iowa",-90.6785,42.4446,Ka,1.85,40,2.1,1.3,25,1,--,--,--,--,--,--,--,--,
